step,energy
335,0.58390903
336,0.5706707
337,0.56818247
338,0.46100146
339,0.34862798
340,0.48756427
341,0.5236974
342,0.7068548
343,0.7262148
344,0.9471648
345,0.8976188
346,0.61584914
347,0.5932171
348,0.3383299
349,0.39976943
350,0.4548248
351,0.559929
352,0.68470156
353,0.6484341
354,0.680272
355,0.57106507
356,0.54604214
357,0.5610979
358,0.4219383
359,0.4344382
360,0.22633873
361,0.2025476
362,0.077427655
363,0.084146574
364,0.21229886
365,0.75495017
366,0.36872917
367,0.15756871
368,0.29801086
369,0.45550868
370,0.80756116
371,0.908417
372,0.3838241
373,0.15738344
374,-0.045539364
375,-0.10378018
376,0.04573743
377,0.10438639
378,0.07457647
379,-0.020772427
380,-0.16762352
381,0.11901724
382,-0.041841418
383,-0.23463982
384,-0.2977886
385,-0.1624721
386,-0.15375015
387,-0.14338014
388,-0.22025257
389,-0.30168077
390,-0.30415964
391,-0.34729925
392,-0.20707497
393,-0.18377285
394,-0.40033606
395,-0.18286608
396,-0.20924929
397,-0.18265754
398,-0.032795444
399,-0.056068435
400,-0.052774265
401,-0.0813162
402,-0.02539754
403,-0.15566735
404,-0.24529651
405,-0.14944136
406,-0.17872715
407,-0.27635
408,-0.33554476
409,-0.29968792
410,-0.17064263
411,-0.3125831
412,-0.38311034
413,-0.59476
414,-0.77546567
415,-0.74678165
416,-0.6142382
417,-0.6356135
418,-0.65470994
419,-0.5471325
420,-0.60895413
421,-0.6045064
422,-0.5748456
423,-0.6964241
424,-0.6366515
425,-0.4207991
426,-0.49530706
427,-0.36600927
428,-0.38990515
429,-0.48923576
430,-0.4119326
431,-0.43304044
432,-0.47000363
433,-0.6136365
434,-0.73238504
435,-0.7674111
436,-0.7987814
437,-0.80821306
438,-0.79933345
439,-0.78734267
440,-0.6868863
441,-0.6526354
442,-0.734442
443,-0.7204525
444,-0.7013729
445,-0.6543535
446,-0.616837
447,-0.597831
448,-0.5388621
449,-0.45399082
450,-0.4389637
451,-0.48294473
452,-0.4371806
453,-0.3991714
454,-0.4211615
455,-0.4145693
456,-0.372469
457,-0.3326875
458,-0.7031052
459,-0.40848333
460,-0.5317637
461,-0.57633007
462,-0.5065191
463,-0.40264657
464,-0.457931
465,-0.42335153
466,-0.39258164
467,-0.48658565
468,-0.5834924
469,-0.5584716
470,-0.5112052
471,-0.5555086
472,-0.61189127
473,-0.64779437
474,-0.706221
475,-0.7286663
476,-0.6245386
477,-0.540215
478,-0.48315606
479,-0.48753557
480,-0.4738689
481,-0.3859843
482,-0.39804417
483,-0.4333282
484,-0.5440639
485,-0.44529617
486,-0.6134835
487,-0.4401854
488,-0.34359372
489,-0.34205717
490,-0.5831599
491,-0.71772623
492,-0.8451927
493,-0.79326856
494,-0.5008913
495,-0.4294366
496,-0.36784068
497,-0.28232607
498,-0.25309837
499,-0.5508882
500,-0.5742459
501,-0.47963512
502,-0.22760028
503,-0.16199124
504,-0.21950355
505,-0.41602013
506,0.031221956
507,-0.13611785
508,-0.117742926
509,0.05570525
510,0.40203285
511,0.31977725
512,0.21692285
513,0.3638177
514,0.041240543
515,0.18185833
516,0.16171488
517,0.36951765
518,0.46523044
519,0.1686998
520,0.28071487
521,0.0024132729
522,0.05175516
523,0.19951436
524,0.1561951
525,0.094818026
526,0.06538981
527,0.19622537
528,0.14827138
529,0.31957495
530,0.36006927
531,0.48809797
532,0.27812055
533,0.17186007
534,0.19349213
535,0.055931464
536,0.1926666
537,0.24696872
538,0.33706188
539,0.6369746
540,0.6166984
541,0.35947138
542,0.5444767
543,0.34003398
544,0.38291827
545,0.4448033
546,0.4839961
547,0.3204125
548,0.5728475
549,0.29080582
550,0.4299869
551,0.61662817
552,0.85112786
553,0.52181584
554,0.296246
555,0.28264797
556,0.43300846
557,0.7186766
558,0.50631875
559,0.5400421
560,0.7704872
561,0.8087601
562,0.66883606
563,0.8203156
564,0.591662
565,0.8729191
566,1.4553266
567,-3.0594294
568,-0.9647915
569,-0.53976977
570,-0.48899946
571,-0.52305615
572,-0.52950454
573,-0.6341232
574,-0.68074787
575,-0.67033273
576,-0.6084026
577,-0.69868475
578,-0.7415358
579,-0.7022326
580,-0.72801876
581,-0.5439619
582,-0.482727
583,-0.573717
584,-0.46503785
585,-0.62436557
586,-0.3988351
587,-0.39542237
588,-0.4019923
589,-0.46881405
590,-0.5852119
591,-0.72915316
592,-0.5914226
593,-0.59605736
594,-0.36707908
595,-0.4042478
596,-0.35096222
597,-0.46232092
598,-0.42694935
599,-0.40966183
600,-0.5028838
601,-0.83038443
602,-0.93940413
603,-0.9324285
604,-0.51199985
605,-0.6791594
606,-0.77084064
607,-0.9772614
608,-1.3934798
609,-1.6434654
610,-1.7803321
611,-1.9455373
612,-1.9236443
613,-1.2112567
614,-1.0057482
615,-1.0182166
616,-0.9901867
617,-0.9559261
618,-0.8232691
619,-0.80572355
620,-0.7518735
621,-0.76516324
622,-0.76058656
623,-0.6860828
624,-0.7047092
625,-0.7434052
626,-0.75297606
627,-0.72113085
628,-0.71009296
629,-0.5692829
630,-0.5168172
631,-0.42228845
632,-0.4451056
633,-0.43298233
634,-0.50172114
635,-0.46896142
636,-0.40597436
637,-0.39891377
638,-0.41795713
639,-0.37024075
640,-0.4621002
641,-0.5031282
642,-0.4773133
643,-0.5309626
644,-0.48347452
645,-0.37215862
646,-0.4060049
647,-0.4683353
648,-0.50706035
649,-0.5937821
650,-0.5770241
651,-0.5882367
652,-0.5840061
653,-0.6628872
654,-0.6830833
655,-0.6608174
656,-0.57816964
657,-0.48631626
658,-0.5401381
659,-0.61181974
660,-0.6287879
661,-0.67187965
662,-0.6386224
663,-0.82138944
664,-1.1616889
665,-1.0429759
666,-0.88196343
667,-1.1502959
668,-1.1764833
669,-1.0843256
670,-0.84793174
671,-0.8237945
672,-1.0201042
673,-0.87930954
674,-0.7882001
675,-0.8393754
676,-0.8261684
677,-0.9564407
678,-0.7846313
679,-0.7862876
680,-0.76679325
681,-1.0323453
682,-1.0323703
683,-1.0347902
684,-0.8910929
685,-0.87559235
686,-0.98141575
687,-1.2683015
688,-1.2776493
689,-1.2461085
690,-1.3752838
691,-1.1046246
692,-1.0295304
693,-0.8637318
694,-0.64226407
695,-0.84859115
696,-0.88571626
697,-0.84860015
698,-0.67870104
699,-0.5920441
700,-0.4880209
701,-0.47129107
702,-0.46179307
703,-0.3220747
704,-0.33643568
705,-0.25232124
706,-0.40345484
707,-0.3703604
708,-0.4510994
709,-0.55339265
710,-0.5884165
711,-0.6727121
712,-0.8599365
713,-0.76827013
714,-0.6608641
715,-0.5628583
716,-0.4069473
717,-0.479783
718,-0.5440891
719,-0.48826286
720,-0.4319628
721,-0.36724186
722,-0.3880925
723,-0.6539626
724,-0.51134425
725,-0.6564925
726,-0.67138475
727,-0.40232962
728,-0.47313055
729,-0.51439714
730,-0.5711975
731,-0.7248845
732,-0.66186476
733,-0.6008738
734,-0.58167976
735,-0.49353057
736,-0.5421018
737,-0.58764875
738,-0.6189766
739,-0.65983504
740,-0.3848329
741,-0.26501763
742,-0.49458504
743,-0.35134718
744,-0.3900404
745,-0.35004237
746,-0.4401776
747,-0.30640987
748,-0.403312
749,-0.27914125
750,-0.13046739
751,-0.4339596
752,-0.6109302
753,-0.6094823
754,-0.65766543
755,-0.71353173
756,-0.6095151
757,-0.52723444
758,-0.42856157
759,-0.3643783
760,-0.3771044
761,-0.44921243
762,-0.4943333
763,-0.5564018
764,-0.6638378
765,-0.44072974
766,-0.3483804
767,-0.26972863
768,-0.35746837
769,-0.16966131
770,-0.19406351
771,-0.07319914
772,-0.3430746
773,-0.19693378
774,0.00622268
775,-0.10309176
776,-0.072978675
777,0.097493455
778,0.6068891
779,0.45087677
780,0.5722507
781,0.1898456
782,0.14564595
783,-0.012102097
784,0.22103217
785,-0.008971393
786,-0.057908297
787,-0.14200228
788,-0.39747152
789,-0.41363063
790,0.03688149
791,-0.2325623
792,-0.11295138
793,-0.035684824
794,0.004216373
795,-0.1375686
796,0.08896795
797,0.24542272
798,0.041223317
799,0.13449681
800,0.25671425
801,0.09302084
802,0.21669161
803,0.23844771
804,0.41603306
805,0.31534508
806,0.28102848
807,0.052740693
808,-0.09292701
809,0.025801226
810,0.093018726
811,-0.020397231
812,-0.004996583
813,0.74846697
814,0.30479068
815,0.23098399
816,0.46718195
817,0.23877895
818,0.58102775
819,-0.034553885
820,-0.20357122
821,-0.42993295
822,-0.6112199
823,-0.55766785
824,-0.72275925
825,-0.6755696
826,-0.783301
827,-0.75699407
828,-0.8848507
829,-0.80930156
830,-0.7173535
831,-0.7280944
832,-0.5116663
833,-0.44574738
834,-0.4446568
835,-0.67246246
836,-0.6557448
837,-0.687145
838,-0.80730075
839,-0.84685385
840,-0.7932154
841,-0.8844166
842,-0.68662274
843,-0.52667576
844,-0.55233437
845,-0.38064975
846,-0.341213
847,-0.09268844
848,-0.29090634
849,-0.7682912
850,-0.9673023
851,-1.0801086
852,-1.2487311
853,-1.4418457
854,-1.4810474
855,-1.5285039
856,-1.5460877
857,-1.1683062
858,-1.2803754
859,-1.1933492
860,-1.1517937
861,-1.2299632
862,-1.4688413
863,-1.3651303
864,-1.479861
865,-1.475972
866,-1.6204422
867,-1.5872082
868,-1.5883435
869,-1.8684441
870,-1.8710567
871,-1.8409847
872,-1.5280991
873,-1.6363353
874,-1.4687635
875,-1.6164064
876,-1.7255535
877,-1.7410362
878,-1.7738209
879,-1.8485501
880,-1.7659907
881,-1.6954186
882,-1.6758808
883,-1.7448108
884,-1.5632467
885,-1.8063405
886,-1.7020315
887,-1.6180227
888,-1.6318355
889,-1.33989
890,-1.133307
891,-1.1532755
892,-1.2264786
893,-1.0351994
894,-0.87334263
895,-0.8978802
896,-0.74039125
897,-0.828213
898,-0.98418397
899,-0.8920322
900,-0.79738533
901,-0.80634993
902,-0.6890739
903,-0.7303232
904,-0.8580471
905,-1.4206884
906,-1.7018738
907,-1.3555322
908,-1.1986666
909,-1.1064029
910,-1.0603632
911,-0.8823371
912,-0.8630532
913,-0.5322864
914,-0.55320364
915,-0.52253723
916,-0.4217019
917,-0.5396032
918,-0.5971619
919,-0.604044
920,-0.6532383
921,-0.8235567
922,-0.5749904
923,-0.40641314
924,-0.5532782
925,-0.5623534
926,-0.35999888
927,-0.351883
928,-0.37915778
929,-0.65749824
930,-0.88017154
931,-0.8962775
932,-0.5762584
933,-0.63769543
934,-0.5236489
935,-0.9750768
936,-1.1267974
937,-1.2456527
938,-1.1262001
939,-1.129571
940,-0.98720753
941,-0.7920337
942,-0.7604711
943,-0.6687014
944,-0.58407617
945,-0.5585758
946,-0.5780073
947,-0.5948782
948,-0.8556796
949,-0.8417271
950,-0.93829215
951,-0.8896879
952,-0.9199693
953,-1.0913237
954,-1.2333212
955,-1.3378725
956,-1.2943072
957,-1.1973286
958,-1.2595804
959,-1.5231781
960,-1.4002222
961,-1.3611151
962,-1.2258999
963,-1.1561521
964,-1.0020306
965,-1.1212609
966,-0.8778507
967,-0.9594005
968,-1.0245516
969,-0.95552576
970,-1.0475539
971,-1.1455588
972,-0.74176425
973,-0.8175732
974,-1.0070038
975,-1.0636731
976,-1.1039764
977,-1.2585602
978,-1.3992506
979,-1.4119956
980,-1.2717736
981,-1.3549914
982,-1.406914
983,-1.3265646
984,-1.4677256
985,-1.6233566
986,-1.835968
987,-1.9792819
988,-1.9670243
989,-1.788317
990,-1.5711722
991,-1.6096127
992,-0.98108506
993,-0.84592515
994,-0.79185164
995,-0.88707435
996,-1.0385032
997,-1.0206919
998,-0.70364404
999,-0.90458906
