step,energy,ewmean,ewvar,pmove
0,-29.042023,-29.042023,-0.0,0.90999997
1,-29.26476,-29.064297,0.0044650333,0.85999995
2,-29.448008,-29.102669,0.01726959,0.90999997
3,-29.882132,-29.180614,0.070223235,0.9
4,-29.803263,-29.24288,0.098093085,0.90999997
5,-29.117613,-29.230352,0.089696035,0.96
6,-29.502348,-29.257551,0.08738477,0.95
7,-29.89546,-29.321342,0.115269795,0.9
8,-29.712412,-29.360449,0.11750698,0.88
9,-29.053823,-29.329786,0.114218004,0.93
10,-30.354517,-29.432259,0.19730277,0.91999996
11,-30.18855,-29.507889,0.2290505,0.9
12,-31.17787,-29.674887,0.4571407,0.95
13,-31.033768,-29.810776,0.5776168,0.88
14,-29.847982,-29.814497,0.5199797,0.95
15,-29.705917,-29.803638,0.4690428,0.88
16,-30.142563,-29.83753,0.4324768,0.90999997
17,-29.764456,-29.830223,0.3897097,0.89
18,-30.576384,-29.904839,0.40084675,0.84999996
19,-30.074995,-29.921854,0.36336786,0.94
20,-29.65954,-29.895622,0.33322382,0.90999997
21,-29.807829,-29.886843,0.30059513,0.89
22,-30.84325,-29.982483,0.35285997,0.95
23,-30.052027,-29.989437,0.31800923,0.89
24,-30.17845,-30.008339,0.2894236,0.95
25,-29.970325,-30.004538,0.2606113,0.96
26,-29.616697,-29.965754,0.24808797,0.95
27,-29.888983,-29.958076,0.2238096,0.85999995
28,-29.971216,-29.95939,0.20144418,0.91999996
29,-28.710127,-29.834465,0.32175916,0.90999997
30,-31.387037,-29.989723,0.50652647,0.94
31,-30.920166,-30.082767,0.533789,0.94
32,-30.426249,-30.117115,0.4910282,0.90999997
33,-30.194899,-30.124893,0.44246987,0.9
34,-30.894209,-30.201824,0.45148903,0.93
35,-31.00739,-30.282381,0.46474424,0.96
36,-31.738974,-30.42804,0.6092194,0.95
37,-31.4154,-30.526775,0.63603663,0.88
38,-32.49636,-30.723734,0.92156696,0.91999996
39,-33.025223,-30.953882,1.3061268,0.91999996
40,-33.407253,-31.199219,1.7172267,0.94
41,-32.95312,-31.374609,1.8223597,0.9
42,-33.391068,-31.576256,2.006073,0.91999996
43,-32.980682,-31.716698,1.9829829,0.87
44,-32.097363,-31.754765,1.797726,0.93
45,-34.543873,-32.033676,2.3180747,0.93
46,-34.67407,-32.297714,2.7137177,0.94
47,-35.258358,-32.59378,3.231233,0.88
48,-34.281075,-32.76251,3.164336,0.90999997
49,-33.38268,-32.824524,2.8825173,0.94
50,-32.176003,-32.75967,2.6321177,0.94
51,-32.15124,-32.698826,2.4022226,0.89
52,-31.935263,-32.62247,2.214473,0.91999996
53,-31.51829,-32.512054,2.102755,0.9
54,-32.13674,-32.47452,1.905157,0.87
55,-31.667952,-32.393864,1.7731912,0.90999997
56,-31.74437,-32.328915,1.6338378,0.89
57,-32.02604,-32.298626,1.47871,0.91999996
58,-32.260845,-32.29485,1.3309674,0.84999996
59,-32.115547,-32.27692,1.2007641,0.94
60,-33.006207,-32.34985,1.1285548,0.90999997
61,-31.811115,-32.295975,1.0418205,0.95
62,-31.122923,-32.17867,1.061483,0.84999996
63,-31.041355,-32.064938,1.0717481,0.83
64,-32.11677,-32.07012,0.96481514,0.90999997
65,-32.620796,-32.12519,0.8956254,0.91999996
66,-31.506887,-32.063362,0.8404697,0.90999997
67,-30.005167,-31.857542,1.1376778,0.89
68,-30.619297,-31.733717,1.1619025,0.91999996
69,-29.652174,-31.525562,1.4356662,0.94
70,-31.09357,-31.482363,1.308895,0.89
71,-31.106388,-31.444765,1.1907276,0.91999996
72,-30.597258,-31.360014,1.136299,0.9
73,-29.775635,-31.201576,1.2485923,0.93
74,-29.611685,-31.042587,1.351231,0.9
75,-30.23863,-30.962193,1.2742791,0.96999997
76,-29.849455,-30.850918,1.2582878,0.89
77,-30.096449,-30.77547,1.1836891,0.9
78,-30.16326,-30.714249,1.0990524,0.88
79,-29.97775,-30.640598,1.0379658,0.91999996
80,-30.17771,-30.594309,0.95345306,0.94
81,-30.467173,-30.581594,0.85956246,0.90999997
82,-29.620634,-30.485498,0.8567162,0.91999996
83,-29.070835,-30.344032,0.95115906,0.96
84,-28.963245,-30.205954,1.0276346,0.9
85,-29.166016,-30.10196,1.0222036,0.93
86,-28.823065,-29.97407,1.0671846,0.88
87,-28.792349,-29.855898,1.0861479,0.94
88,-28.300995,-29.700407,1.1951282,0.88
89,-29.059366,-29.636303,1.1125994,0.9
90,-29.503428,-29.623016,1.0029285,0.90999997
91,-29.619492,-29.622663,0.9026367,0.90999997
92,-29.32823,-29.59322,0.82017523,0.87
93,-29.58335,-29.592232,0.73816645,0.89
94,-29.328629,-29.565872,0.6706036,0.89
95,-29.174763,-29.526762,0.61731017,0.90999997
96,-29.299887,-29.504074,0.56021166,0.95
97,-30.136038,-29.56727,0.5401345,0.9
98,-29.9508,-29.605623,0.49935955,0.89
99,-29.954472,-29.640509,0.46037617,0.85999995
100,-29.367544,-29.613213,0.4210444,0.9
101,-29.488836,-29.600775,0.3803322,0.93
102,-29.11911,-29.552608,0.36317906,0.90999997
103,-29.631622,-29.56051,0.32742304,0.93
104,-29.393402,-29.5438,0.297194,0.88
105,-28.744547,-29.463875,0.32496715,0.93
106,-28.728622,-29.39035,0.3411241,0.87
107,-28.305838,-29.281898,0.41286677,0.89
108,-28.839756,-29.237684,0.3891742,0.85999995
109,-27.767902,-29.090706,0.54468006,0.89
110,-28.306538,-29.01229,0.5455548,0.88
111,-28.388819,-28.949942,0.5259837,0.88
112,-28.809855,-28.935932,0.47515148,0.84999996
113,-29.402607,-28.9826,0.44723698,0.87
114,-29.59112,-29.043451,0.43584,0.85999995
115,-29.200682,-29.059174,0.3944809,0.9
116,-29.460093,-29.099266,0.36949906,0.94
117,-29.1398,-29.10332,0.332697,0.90999997
118,-30.318491,-29.224836,0.43232512,0.90999997
119,-30.965897,-29.398943,0.66190875,0.93
120,-31.489893,-29.608038,0.98920435,0.90999997
121,-32.068966,-29.85413,1.4353389,0.93
122,-32.559696,-30.124687,1.950613,0.90999997
123,-31.73152,-30.28537,1.9879236,0.90999997
124,-29.966368,-30.25347,1.7982898,0.94
125,-30.593977,-30.28752,1.6288959,0.91999996
